geo_code1,geo_code2,all,from_home,train,bus,car_driver,car_passenger,bicycle,foot,other,dist_euclidean,dist_bands
S02001578,S02001660,57,0,0,31,22,0,1,2,1,7369.521062503861,"(6,10] km"
S02001578,S02001663,19,0,0,4,13,1,1,0,0,7750.043360633889,"(6,10] km"
S02001578,S02001667,18,0,0,3,13,0,2,0,0,9439.708316149172,"(6,10] km"
S02001578,S02001679,12,0,0,2,10,0,0,0,0,4527.568570268718,"(3,6] km"
S02001578,S02001682,108,0,0,11,80,9,4,1,3,3719.22907462272,"(3,6] km"
S02001578,S02001683,22,0,0,0,17,1,4,0,0,5253.088864437815,"(3,6] km"
S02001579,S02001576,18,0,0,5,11,0,2,0,0,4683.610554956018,"(3,6] km"
S02001579,S02001577,66,0,0,20,32,4,3,7,0,2289.637564193879,"(1,3] km"
S02001579,S02001578,15,0,0,2,11,0,0,2,0,1254.1371659311899,"(1,3] km"
S02001579,S02001579,26,0,0,1,7,1,1,16,0,0,"[0,1] km"
S02001579,S02001581,11,0,0,0,8,0,1,2,0,2635.7877633233884,"(1,3] km"
S02001579,S02001583,12,0,0,0,8,1,0,3,0,1157.7409242523604,"(1,3] km"
S02001579,S02001584,17,0,0,0,14,0,0,3,0,1238.3378157402492,"(1,3] km"
S02001579,S02001586,55,0,0,5,31,6,1,12,0,2015.3499290503012,"(1,3] km"
S02001579,S02001587,17,0,0,4,11,0,1,1,0,3026.5871952748194,"(3,6] km"
S02001579,S02001588,15,0,0,0,12,1,2,0,0,2373.0723321348196,"(1,3] km"
S02001579,S02001589,18,0,0,4,14,0,0,0,0,3873.6126242702894,"(3,6] km"
S02001579,S02001590,12,0,0,0,12,0,0,0,0,4524.91264697436,"(3,6] km"
S02001579,S02001591,16,0,0,4,11,0,1,0,0,5304.769263251244,"(3,6] km"
S02001579,S02001593,20,0,0,7,10,1,1,1,0,3330.393537411647,"(3,6] km"
S02001579,S02001609,13,0,0,3,8,0,2,0,0,7323.518819722358,"(6,10] km"
S02001579,S02001615,10,0,0,0,6,3,1,0,0,5589.358861463527,"(3,6] km"
S02001579,S02001616,24,0,0,5,17,1,1,0,0,5428.747678797842,"(3,6] km"
S02001579,S02001619,23,0,0,10,12,0,0,1,0,5650.711152433138,"(3,6] km"
S02001579,S02001620,112,0,0,69,29,5,5,1,3,6582.067796227691,"(6,10] km"
S02001579,S02001621,18,0,0,5,8,2,1,2,0,7519.668497968692,"(6,10] km"
S02001579,S02001622,98,0,6,56,25,5,3,2,1,7567.430243800451,"(6,10] km"
S02001579,S02001623,11,0,0,8,3,0,0,0,0,7876.054190085451,"(6,10] km"
S02001579,S02001627,28,0,0,6,21,0,1,0,0,9335.638700559035,"(6,10] km"
S02001579,S02001632,11,0,0,1,10,0,0,0,0,11843.387708868508,"(10,15] km"
S02001579,S02001655,21,0,0,11,10,0,0,0,0,8317.303028901435,"(6,10] km"
S02001579,S02001656,25,0,0,17,7,0,1,0,0,7541.112645263822,"(6,10] km"
S02001579,S02001658,22,0,0,12,8,2,0,0,0,7249.965306797162,"(6,10] km"
S02001579,S02001660,81,0,4,44,23,4,5,0,1,6115.623623416043,"(6,10] km"
S02001579,S02001663,29,0,0,6,21,0,1,0,1,6539.178535343883,"(6,10] km"
S02001579,S02001667,19,0,0,2,13,0,3,1,0,8238.949584527398,"(6,10] km"
S02001579,S02001670,17,0,0,7,9,1,0,0,0,7550.746745884265,"(6,10] km"
S02001579,S02001679,16,0,0,2,12,1,1,0,0,3565.743449306464,"(3,6] km"
S02001579,S02001682,189,0,0,16,146,14,6,5,2,2899.721112898969,"(1,3] km"
S02001579,S02001683,30,0,0,3,20,3,1,0,3,5811.270971135221,"(3,6] km"
S02001579,S02001684,17,0,0,0,16,1,0,0,0,8833.61656506366,"(6,10] km"
S02001580,S02001577,36,0,0,5,28,2,1,0,0,3534.889272293127,"(3,6] km"
S02001580,S02001579,10,0,0,1,4,2,1,2,0,2015.06875335816,"(1,3] km"
S02001580,S02001580,34,0,0,0,12,0,0,22,0,0,"[0,1] km"
S02001580,S02001581,30,0,0,0,20,0,2,8,0,991.2064905670749,"[0,1] km"
S02001580,S02001586,42,0,0,8,29,1,4,0,0,3207.586003086272,"(3,6] km"
S02001580,S02001589,19,0,0,2,12,0,3,2,0,3644.562308431047,"(3,6] km"
S02001580,S02001591,11,0,0,1,10,0,0,0,0,5034.97069371398,"(3,6] km"
S02001580,S02001593,17,0,0,4,10,0,0,3,0,2688.7738503735345,"(1,3] km"
S02001580,S02001596,23,0,0,9,10,1,1,2,0,2184.746603943433,"(1,3] km"
S02001580,S02001609,17,0,0,1,10,0,4,2,0,6115.768962488046,"(6,10] km"
S02001580,S02001612,11,0,0,2,8,0,1,0,0,6062.391776390837,"(6,10] km"
S02001580,S02001613,14,0,0,2,11,0,1,0,0,6188.07666430191,"(6,10] km"
S02001580,S02001615,24,0,0,3,19,1,1,0,0,4584.935944673907,"(3,6] km"
S02001580,S02001616,55,0,0,7,41,4,2,1,0,4744.912880014034,"(3,6] km"
S02001580,S02001619,11,0,0,7,2,1,0,0,1,5309.524878294166,"(3,6] km"
S02001580,S02001620,141,0,0,63,53,8,11,5,1,6052.57620432687,"(6,10] km"
S02001580,S02001621,34,0,0,15,12,2,3,2,0,6670.616025782756,"(6,10] km"
S02001580,S02001622,106,0,2,60,30,3,7,3,1,6925.396014561769,"(6,10] km"
S02001580,S02001623,21,0,0,7,12,1,1,0,0,7139.751056796314,"(6,10] km"
S02001580,S02001627,34,0,0,1,30,1,1,0,1,8021.656246492656,"(6,10] km"
S02001580,S02001640,17,0,0,0,15,0,2,0,0,10481.794627890637,"(10,15] km"
S02001580,S02001647,20,0,0,8,10,1,0,1,0,8293.620635349009,"(6,10] km"
S02001580,S02001655,20,0,0,10,8,1,1,0,0,7903.313588376595,"(6,10] km"
S02001580,S02001656,42,0,0,20,15,1,2,0,4,7248.226320325796,"(6,10] km"
S02001580,S02001657,15,0,0,10,5,0,0,0,0,7511.397394856467,"(6,10] km"
S02001580,S02001658,11,0,0,7,3,0,1,0,0,7084.841261386706,"(6,10] km"
S02001580,S02001660,107,0,0,42,53,4,5,0,3,5884.512207699018,"(3,6] km"
S02001580,S02001661,11,0,0,0,10,0,0,1,0,4518.830480650904,"(3,6] km"
S02001580,S02001663,29,0,0,5,24,0,0,0,0,6813.5719733413825,"(6,10] km"
S02001580,S02001667,11,0,0,0,10,0,1,0,0,8504.485644165323,"(6,10] km"
S02001580,S02001679,20,0,0,2,15,0,1,2,0,4865.477361418904,"(3,6] km"
S02001580,S02001682,84,0,0,12,56,2,10,2,2,4482.113946985298,"(3,6] km"
S02001580,S02001683,44,0,0,6,35,1,2,0,0,7776.631032672858,"(6,10] km"
S02001580,S02001684,10,0,0,0,8,1,1,0,0,10842.607787507164,"(10,15] km"
S02001581,S02001577,37,0,0,13,15,2,5,2,0,4458.0906385153885,"(3,6] km"
S02001581,S02001580,21,0,0,0,10,2,0,9,0,991.2064905670749,"[0,1] km"
S02001581,S02001581,122,0,0,2,29,2,16,73,0,0,"[0,1] km"
S02001581,S02001584,10,0,0,1,7,1,0,1,0,2318.389315224006,"(1,3] km"
S02001581,S02001586,27,0,0,3,20,1,2,1,0,3209.1638186485966,"(3,6] km"
S02001581,S02001588,15,0,0,2,8,0,0,5,0,2384.9049808423083,"(1,3] km"
S02001581,S02001589,15,0,0,1,13,0,0,1,0,2922.933237288108,"(1,3] km"
S02001581,S02001591,10,0,0,1,5,0,4,0,0,4227.825866780109,"(3,6] km"
S02001581,S02001594,11,0,0,2,6,3,0,0,0,2516.3636100251306,"(1,3] km"
S02001581,S02001596,27,0,0,0,9,2,2,14,0,1195.8705350273333,"(1,3] km"
S02001581,S02001598,13,0,0,3,6,0,0,3,1,1803.5034470204494,"(1,3] km"
S02001581,S02001599,11,0,0,0,9,1,0,1,0,2753.4346361245384,"(1,3] km"
S02001581,S02001609,17,0,0,2,12,0,1,2,0,5124.787862102041,"(3,6] km"
